Reporting Period,Accounting Period,Artist(s),Release,Track,UPC,ISRC,Partner,Country,Type,Units,Revenue (USD),Revenue Share (%),Split Pay Share (%)
2024-11-01,2025-02-01,Le Zhang,围炉夜话,围炉夜话,085494492838,QZMHM2512928,TIK_TOK,KH,UNKNOWN_STREAM,0E-9,9.00E-7,82,100
2024-11-01,2025-02-01,Le Zhang,围炉夜话,围炉夜话,085494492838,QZMHM2512928,TIK_TOK,KR,UNKNOWN_STREAM,1.000000000,0.000017900,80,100
2024-11-01,2025-02-01,Le Zhang,围炉夜话,围炉夜话,085494492838,QZMHM2512928,TIK_TOK,MM,UNKNOWN_STREAM,0E-9,4.00E-7,80,100
2024-11-01,2025-02-01,Le Zhang,围炉夜话,围炉夜话,085494492838,QZMHM2512928,TIK_TOK,PK,UNKNOWN_STREAM,0E-9,4.00E-7,80,100
2024-11-01,2025-02-01,Le Zhang,围炉夜话,围炉夜话,085494492838,QZMHM2512928,TIK_TOK,VN,UNKNOWN_STREAM,47.000000000,0.000638800,80,100
2024-12-01,2025-02-01,Le Zhang,On Christmas Eve,On Christmas Eve,085494243003,QZMHK2524964,FACEBOOK,FM,UNKNOWN_STREAM,3.000000000,0.000001800,78,100
2024-12-01,2025-02-01,Le Zhang,On Christmas Eve,On Christmas Eve,085494243003,QZMHK2524964,FACEBOOK,ID,UNKNOWN_STREAM,4.000000000,0.000184200,80,100
2024-12-01,2025-02-01,Le Zhang,On Christmas Eve,On Christmas Eve,085494243003,QZMHK2524964,FACEBOOK,NL,UNKNOWN_STREAM,4.000000000,0.000024200,80,100
2024-12-01,2025-02-01,Le Zhang,On Christmas Eve,On Christmas Eve,085494243003,QZMHK2524964,FACEBOOK,US,UNKNOWN_STREAM,17.000000000,0.000297000,80,2
2024-12-01,2025-02-01,Le Zhang,On Christmas Eve,On Christmas Eve,085494243003,QZMHK2524964,FACEBOOK,US,UNKNOWN_STREAM,4.000000000,0.012904800,80,98
2024-12-01,2025-02-01,Le Zhang,围炉夜话,围炉夜话,085494492838,QZMHM2512928,TIK_TOK,KR,UNKNOWN_STREAM,3.000000000,0.000039200,80,100
2024-12-01,2025-02-01,Le Zhang,围炉夜话,围炉夜话,085494492838,QZMHM2512928,TIK_TOK,TW,UNKNOWN_STREAM,1.000000000,0.000012300,80,100
2024-12-01,2025-02-01,Le Zhang,围炉夜话,围炉夜话,085494492838,QZMHM2512928,TIK_TOK,VN,UNKNOWN_STREAM,2.000000000,0.000026400,80,100
2024-12-01,2025-02-01,Le Zhang,下棋,年末雪,674053234370,QZS642553201,TIK_TOK,VN,UNKNOWN_STREAM,14.000000000,0.000169500,80,100
2024-12-01,2025-02-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,YOUTUBE_ART_TRACK,NL,SRAV_AD_ART_TRACK,1.000000000,0.003947200,80,100
2024-12-01,2025-02-01,Le Zhang,,桂花载酒,,QZMHK2559131,YOUTUBE_ART_TRACK,HK,SRAV_AD_ART_TRACK,1.000000000,0E-9,100,100
2024-12-01,2025-02-01,Le Zhang,,圣诞节的前一晚,,QZMHL2557761,YOUTUBE_ART_TRACK,HK,SRAV_AD_ART_TRACK,1.000000000,0E-9,100,100
2024-12-01,2025-02-01,Le Zhang,,圣诞节的前一晚,,QZMHL2557761,YOUTUBE_ART_TRACK,MY,SRAV_AD_ART_TRACK,1.000000000,0E-9,100,100
2024-12-01,2025-02-01,Le Zhang,,圣诞节的前一晚,,QZMHL2557761,YOUTUBE_ART_TRACK,US,SRAV_AD_ART_TRACK,2.000000000,0E-9,100,100
2024-12-01,2025-02-01,Le Zhang,,圣诞节的前一晚,,QZMHL2557761,YOUTUBE_ART_TRACK,MY,SRAV_SUB_ART_TRACK,1.000000000,0.001077700,80,100
2024-12-01,2025-02-01,Le Zhang,,圣诞节的前一晚,,QZMHL2557761,YOUTUBE_ART_TRACK,TR,SRAV_SUB_ART_TRACK,1.000000000,0.000462400,80,100
2024-12-01,2025-02-01,Le Zhang,,围炉夜话,,QZMHM2512928,YOUTUBE_ART_TRACK,ID,SRAV_AD_ART_TRACK,1.000000000,0E-9,100,100
2024-12-01,2025-02-01,Le Zhang,,围炉夜话,,QZMHM2512928,YOUTUBE_ART_TRACK,MY,SRAV_AD_ART_TRACK,3.000000000,0E-9,100,100
2024-12-01,2025-02-01,Le Zhang,,围炉夜话,,QZMHM2512928,YOUTUBE_ART_TRACK,US,SRAV_AD_ART_TRACK,2.000000000,0E-9,100,100
2024-12-01,2025-02-01,Le Zhang,,围炉夜话,,QZMHM2512928,YOUTUBE_ART_TRACK,CA,SRAV_SUB_ART_TRACK,1.000000000,0.003473200,80,100
2024-12-01,2025-02-01,Le Zhang,,围炉夜话,,QZMHM2512928,YOUTUBE_ART_TRACK,MY,SRAV_SUB_ART_TRACK,2.000000000,0.002900800,80,100
2024-12-01,2025-02-01,Le Zhang,,围炉夜话,,QZMHM2512928,YOUTUBE_ART_TRACK,TR,SRAV_SUB_ART_TRACK,1.000000000,0.000462400,80,100
2024-12-01,2025-02-01,Le Zhang,,未言梦,,QZMHM2539632,YOUTUBE_ART_TRACK,TR,SRAV_SUB_ART_TRACK,1.000000000,0.000462400,80,100
2024-12-01,2025-02-01,Le Zhang,,新年-停泊他乡,,QZS642532423,YOUTUBE_ART_TRACK,CN,SRAV_AD_ART_TRACK,1.000000000,0E-9,100,100
2025-01-01,2025-02-01,Le Zhang,,Shaky Clear,,QM42K2529928,SOUNDCLOUD,US,AD_STREAM,1.000000000,0.002464900,100,100
2025-01-01,2025-02-01,Le Zhang,,今天你突然回来,,QM42K2575298,SOUNDCLOUD,CA,AD_STREAM,2.000000000,0.001155100,100,100
2025-01-01,2025-02-01,Le Zhang,,今天你突然回来,,QM42K2575298,SOUNDCLOUD,DE,AD_STREAM,1.000000000,0.000305300,100,100
2025-01-01,2025-02-01,Le Zhang,,今天你突然回来,,QM42K2575298,SOUNDCLOUD,US,AD_STREAM,2.000000000,0.004929800,100,100
2025-01-01,2025-02-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,SOUNDCLOUD,US,AD_STREAM,1.000000000,0.002464900,100,100
2025-01-01,2025-02-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,SOUNDCLOUD,US,SUB_STREAM,1.000000000,0.037330600,100,100
2025-01-01,2025-02-01,Le Zhang,,酒吧对话,,QZMHK2558042,SOUNDCLOUD,US,AD_STREAM,1.000000000,0.002300200,100,100
2025-01-01,2025-02-01,Le Zhang,,酒吧对话,,QZMHK2558042,SOUNDCLOUD,US,SUB_STREAM,1.000000000,0.002878400,100,100
2025-01-01,2025-02-01,Le Zhang,,桂花载酒,,QZMHK2559131,SOUNDCLOUD,US,AD_STREAM,2.000000000,0.004929800,100,100
2025-01-01,2025-02-01,Le Zhang,,Bus And Slopes,,QZMHK2561201,SOUNDCLOUD,DE,AD_STREAM,4.000000000,0.000692500,100,100
2025-01-01,2025-02-01,Le Zhang,,Bus And Slopes,,QZMHK2561201,SOUNDCLOUD,ES,AD_STREAM,1.000000000,0E-9,100,100
2025-01-01,2025-02-01,Le Zhang,,Bus And Slopes,,QZMHK2561201,SOUNDCLOUD,FR,AD_STREAM,1.000000000,0.000124900,100,100
2025-01-01,2025-02-01,Le Zhang,,Bus And Slopes,,QZMHK2561201,SOUNDCLOUD,MX,AD_STREAM,1.000000000,0.000220500,100,100
